grid,proposed,l0bnb,cplex,gurobi,mosek
0.01,0,0,0,0,0
0.011233240329780276,0,0,0,0,0
0.012618568830660204,0,0,0,0,0
0.014174741629268055,0,0,0,0,0
0.015922827933410922,0,0,0,0,0
0.01788649529057435,0,0,0,0,0
0.02009233002565047,0,0,0,0,0
0.022570197196339202,0,0,0,0,0
0.025353644939701114,0,0,0,0,0
0.02848035868435802,0,0,0,0,0
0.03199267137797385,0,0,0,0,0
0.03593813663804628,0,0,0,0,0
0.040370172585965536,0,0,0,0,0
0.04534878508128582,0,0,0,0,0
0.0509413801481638,0,0,0,0,0
0.05722367659350217,0,0,0,0,0
0.06428073117284319,0,0,0,0,0
0.07220809018385464,0.0111111111111111,0,0,0,0
0.08111308307896872,0.0111111111111111,0,0,0,0
0.09111627561154892,0.0111111111111111,0,0,0,0
0.10235310218990264,0.0111111111111111,0,0,0,0
0.11497569953977356,0.0222222222222222,0,0,0,0
0.1291549665014884,0.0444444444444444,0,0,0,0
0.14508287784959395,0.0777777777777778,0,0,0,0
0.16297508346206444,0.3,0,0,0,0
0.18307382802953678,0.688888888888889,0,0,0,0
0.20565123083486514,0.911111111111111,0,0,0,0
0.23101297000831592,0.966666666666667,0,0,0,0
0.25950242113997357,0.988888888888889,0,0,0,0
0.2915053062825176,1,0,0,0,0
0.32745491628777285,1,0,0,0,0
0.36783797718286326,1,0,0,0,0
0.41320124001153363,1,0,0,0,0
0.464158883361278,1,0,0,0,0
0.5214008287999684,1,0,0,0,0
0.5857020818056667,1,0,0,0,0
0.6579332246575679,1,0,0,0,0
0.739072203352578,1,0,0,0,0
0.8302175681319743,1,0.0111111111111111,0,0,0
0.9326033468832199,1,0.0111111111111111,0,0,0
1.0476157527896652,1,0.0222222222222222,0,0,0
1.1768119524349978,1,0.0555555555555556,0,0,0
1.3219411484660286,1,0.0666666666666667,0,0,0
1.484968262254465,1,0.133333333333333,0,0,0
1.6681005372000592,1,0.233333333333333,0,0,0
1.873817422860383,1,0.4,0,0,0
2.1049041445120196,1,0.522222222222222,0,0,0
2.364489412645407,1,0.733333333333333,0,0,0
2.656087782946687,1,0.888888888888889,0,0,0
2.9836472402833403,1,0.922222222222222,0,0,0
3.351602650938841,1,1,0,0,0
3.7649358067924674,1,1,0,0,0
4.229242874389499,1,1,0,0,0
4.750810162102798,1,1,0,0,0
5.336699231206307,1,1,0,0,0
5.994842503189409,1,1,0,0,0
6.7341506577508214,1,1,0,0,0
7.56463327554629,1,1,0,0,0
8.497534359086439,1,1,0,0.0222222222222222,0
9.545484566618338,1,1,0,0.0444444444444444,0
10.722672220103231,1,1,0,0.0666666666666667,0
12.045035402587823,1,1,0,0.0777777777777778,0
13.530477745798061,1,1,0,0.177777777777778,0
15.199110829529332,1,1,0,0.377777777777778,0
17.073526474706906,1,1,0,0.766666666666667,0
19.179102616724887,1,1,0,0.966666666666667,0
21.544346900318846,1,1,0,1,0
24.20128264794381,1,1,0,1,0
27.1858824273294,1,1,0,1,0
30.538555088334157,1,1,0,1,0
34.30469286314919,1,1,0,1,0
38.53528593710527,1,1,0,1,0
43.28761281083057,1,1,0,1,0
48.62601580065353,1,1,0,1,0
54.62277217684343,1,1,0,1,0
61.35907273413169,1,1,0,1,0
68.92612104349695,1,1,0,1,0.0111111111111111
77.4263682681127,1,1,0,1,0.0222222222222222
86.97490026177834,1,1,0,1,0.133333333333333
97.70099572992247,1,1,0,1,0.4
109.74987654930568,1,1,0.0111111111111111,1,0.611111111111111
123.28467394420659,1,1,0.0444444444444444,1,0.666666666666667
138.48863713938718,1,1,0.0666666666666667,1,0.755555555555556
155.56761439304722,1,1,0.144444444444444,1,0.8
174.7528400007683,1,1,0.188888888888889,1,0.8
196.30406500402725,1,1,0.311111111111111,1,0.866666666666667
220.51307399030455,1,1,0.455555555555556,1,0.922222222222222
247.70763559917089,1,1,0.622222222222222,1,0.966666666666667
278.2559402207126,1,1,0.766666666666667,1,1
312.5715849688235,1,1,0.9,1,1
351.11917342151276,1,1,0.955555555555556,1,1
394.4206059437656,1,1,0.977777777777778,1,1
443.06214575838777,1,1,1,1,1
497.7023564332114,1,1,1,1,1
559.0810182512223,1,1,1,1,1
628.0291441834247,1,1,1,1,1
705.4802310718645,1,1,1,1,1
792.482898353917,1,1,1,1,1
890.2150854450392,1,1,1,1,1
1000.0,1,1,1,1,1